sep=;
"Series";"Time";"Value"
"appmesh-grafana";"2022-01-09T10:17:00+01:00";0.0008009583392060631
"appmesh-grafana";"2022-01-09T10:17:15+01:00";0.001592878747060255
"appmesh-grafana";"2022-01-09T10:17:30+01:00";0.0019894628903123174
"appmesh-grafana";"2022-01-09T10:17:45+01:00";0.0022261384635794005
"appmesh-grafana";"2022-01-09T10:18:00+01:00";0.0021655207812316416
"appmesh-grafana";"2022-01-09T10:18:15+01:00";0.002000154864051809
"appmesh-grafana";"2022-01-09T10:18:30+01:00";0.002808853870267659
"appmesh-grafana";"2022-01-09T10:18:45+01:00";0.0038566118321091683
"appmesh-grafana";"2022-01-09T10:19:00+01:00";0.003259732411023228
"appmesh-grafana";"2022-01-09T10:19:15+01:00";0.003864617199934173
"appmesh-grafana";"2022-01-09T10:19:30+01:00";0.003671967504828895
"appmesh-grafana";"2022-01-09T10:19:45+01:00";0.004241325463190672
"appmesh-grafana";"2022-01-09T10:20:00+01:00";0.0030988887536457076
"appmesh-grafana";"2022-01-09T10:20:15+01:00";0.0031266341485894143
"appmesh-grafana";"2022-01-09T10:20:30+01:00";0.0036423478316982756
"appmesh-grafana";"2022-01-09T10:20:45+01:00";0.003807546398109185
"appmesh-grafana";"2022-01-09T10:21:00+01:00";0.0031542587144738525
"appmesh-grafana";"2022-01-09T10:21:15+01:00";0.0036199331404973374
"appmesh-grafana";"2022-01-09T10:21:30+01:00";0.0037344343922774974
"appmesh-grafana";"2022-01-09T10:21:45+01:00";0.003565014843309796
"appmesh-grafana";"2022-01-09T10:22:00+01:00";0.003705171601824034
"appmesh-grafana";"2022-01-09T10:22:15+01:00";0.0028900131427882854
"appmesh-grafana";"2022-01-09T10:22:30+01:00";0.0040588974904940634
"appmesh-grafana";"2022-01-09T10:22:45+01:00";0.00344283048014875
"appmesh-grafana";"2022-01-09T10:23:00+01:00";0.003916787146340897
"appmesh-grafana";"2022-01-09T10:23:15+01:00";0.0033882554374246756
"appmesh-grafana";"2022-01-09T10:23:30+01:00";0.003684914773960575
"appmesh-grafana";"2022-01-09T10:23:45+01:00";0.0038339736461582225
"appmesh-grafana";"2022-01-09T10:24:00+01:00";0.0037532064406229654
"appmesh-grafana";"2022-01-09T10:24:15+01:00";0.0034089885312615763
"appmesh-grafana";"2022-01-09T10:24:30+01:00";0.0037019500960097118
"appmesh-grafana";"2022-01-09T10:24:45+01:00";0.0036577068572227825
"appmesh-grafana";"2022-01-09T10:25:00+01:00";0.004196933888218518
"appmesh-grafana";"2022-01-09T10:25:15+01:00";0.003620366981840077
"appmesh-grafana";"2022-01-09T10:25:30+01:00";0.004455086251933601
"appmesh-grafana";"2022-01-09T10:25:45+01:00";0.0047525748777245075
"appmesh-grafana";"2022-01-09T10:26:00+01:00";0.0034844285391163053
"appmesh-grafana";"2022-01-09T10:26:15+01:00";0.003910899279502263
"appmesh-grafana";"2022-01-09T10:26:30+01:00";0.0032516634103560977
"appmesh-grafana";"2022-01-09T10:26:45+01:00";0.004015275885606501
"appmesh-grafana";"2022-01-09T10:27:00+01:00";0.003408091788713995
"appmesh-grafana";"2022-01-09T10:27:15+01:00";0.004036057630456267
"appmesh-grafana";"2022-01-09T10:27:30+01:00";0.0034100642994684136
"appmesh-grafana";"2022-01-09T10:27:45+01:00";0.003407226064399963
"appmesh-grafana";"2022-01-09T10:28:00+01:00";0.003489037875172541
"appmesh-grafana";"2022-01-09T10:28:15+01:00";0.0034115729743330356
"appmesh-grafana";"2022-01-09T10:28:30+01:00";0.0035143122166242883
"appmesh-grafana";"2022-01-09T10:28:45+01:00";0.0034402074659312136
"appmesh-grafana";"2022-01-09T10:29:00+01:00";0.0034726278039039484
"appmesh-grafana";"2022-01-09T10:29:15+01:00";0.003449883713319617
"appmesh-grafana";"2022-01-09T10:29:30+01:00";0.00226600205975423
"appmesh-grafana";"2022-01-09T10:29:45+01:00";0.0015010691408684643
"appmesh-grafana";"2022-01-09T10:30:00+01:00";0.0009390094038729277
"appmesh-grafana";"2022-01-09T10:30:15+01:00";0.0009077889000490479
"appmesh-grafana";"2022-01-09T10:30:30+01:00";0.0008273216873412735
"appmesh-grafana";"2022-01-09T10:30:45+01:00";0.0004739579104099801
"appmesh-grafana";"2022-01-09T10:31:00+01:00";0.0008841073317413552
"appmesh-grafana";"2022-01-09T10:31:15+01:00";0.0009155220901447459
"appmesh-grafana";"2022-01-09T10:31:30+01:00";0.000901235492383259
"appmesh-grafana";"2022-01-09T10:31:45+01:00";0.0005341763244676971
"appmesh-grafana";"2022-01-09T10:32:00+01:00";0.00041324394554042535
"appmesh-grafana";"2022-01-09T10:32:15+01:00";0.0009129349677958141
"appmesh-grafana";"2022-01-09T10:32:30+01:00";0.0008781441248885129
"appmesh-grafana";"2022-01-09T10:32:45+01:00";0.0005843679407217942
"appmesh-prometheus";"2022-01-09T10:17:00+01:00";0.1353095109399301
"appmesh-prometheus";"2022-01-09T10:17:15+01:00";0.13125746407674993
"appmesh-prometheus";"2022-01-09T10:17:30+01:00";0.11089683024925731
"appmesh-prometheus";"2022-01-09T10:17:45+01:00";0.10254389943221655
"appmesh-prometheus";"2022-01-09T10:18:00+01:00";0.10873842680191569
"appmesh-prometheus";"2022-01-09T10:18:15+01:00";0.09578334650295982
"appmesh-prometheus";"2022-01-09T10:18:30+01:00";0.11567897023610269
"appmesh-prometheus";"2022-01-09T10:18:45+01:00";0.09743310100277648
"appmesh-prometheus";"2022-01-09T10:19:00+01:00";0.14907362162950658
"appmesh-prometheus";"2022-01-09T10:19:15+01:00";0.15824754571087477
"appmesh-prometheus";"2022-01-09T10:19:30+01:00";0.12057186155906681
"appmesh-prometheus";"2022-01-09T10:19:45+01:00";0.12156316889332516
"appmesh-prometheus";"2022-01-09T10:20:00+01:00";0.1207572326668898
"appmesh-prometheus";"2022-01-09T10:20:15+01:00";0.12382351421787428
"appmesh-prometheus";"2022-01-09T10:20:30+01:00";0.12391337088309128
"appmesh-prometheus";"2022-01-09T10:20:45+01:00";0.13288670478842513
"appmesh-prometheus";"2022-01-09T10:21:00+01:00";0.13160577786137426
"appmesh-prometheus";"2022-01-09T10:21:15+01:00";0.14172086278785084
"appmesh-prometheus";"2022-01-09T10:21:30+01:00";0.15009103073273122
"appmesh-prometheus";"2022-01-09T10:21:45+01:00";0.10116656714287806
"appmesh-prometheus";"2022-01-09T10:22:00+01:00";0.12223555082416346
"appmesh-prometheus";"2022-01-09T10:22:15+01:00";0.12213354037401762
"appmesh-prometheus";"2022-01-09T10:22:30+01:00";0.12251510212960358
"appmesh-prometheus";"2022-01-09T10:22:45+01:00";0.11617017496028206
"appmesh-prometheus";"2022-01-09T10:23:00+01:00";0.15031778974420354
"appmesh-prometheus";"2022-01-09T10:23:15+01:00";0.1494135880129235
"appmesh-prometheus";"2022-01-09T10:23:30+01:00";0.15170027615925602
"appmesh-prometheus";"2022-01-09T10:23:45+01:00";0.12548660452648044
"appmesh-prometheus";"2022-01-09T10:24:00+01:00";0.1255142435683613
"appmesh-prometheus";"2022-01-09T10:24:15+01:00";0.1236552466920516
"appmesh-prometheus";"2022-01-09T10:24:30+01:00";0.12793049884758392
"appmesh-prometheus";"2022-01-09T10:24:45+01:00";0.12410446321242166
"appmesh-prometheus";"2022-01-09T10:25:00+01:00";0.1615275135347944
"appmesh-prometheus";"2022-01-09T10:25:15+01:00";0.17152779722180647
"appmesh-prometheus";"2022-01-09T10:25:30+01:00";0.17726339333830177
"appmesh-prometheus";"2022-01-09T10:25:45+01:00";0.12208911922916486
"appmesh-prometheus";"2022-01-09T10:26:00+01:00";0.11291428154897791
