sep=;
"Series";"Time";"Value"
"appmesh-grafana";"2022-01-09T10:17:00+01:00";32911360
"appmesh-grafana";"2022-01-09T10:17:15+01:00";33136640
"appmesh-grafana";"2022-01-09T10:17:30+01:00";33402880
"appmesh-grafana";"2022-01-09T10:17:45+01:00";33406976
"appmesh-grafana";"2022-01-09T10:18:00+01:00";33406976
"appmesh-grafana";"2022-01-09T10:18:15+01:00";33763328
"appmesh-grafana";"2022-01-09T10:18:30+01:00";33828864
"appmesh-grafana";"2022-01-09T10:18:45+01:00";34320384
"appmesh-grafana";"2022-01-09T10:19:00+01:00";34250752
"appmesh-grafana";"2022-01-09T10:19:15+01:00";34201600
"appmesh-grafana";"2022-01-09T10:19:30+01:00";34541568
"appmesh-grafana";"2022-01-09T10:19:45+01:00";34541568
"appmesh-grafana";"2022-01-09T10:20:00+01:00";34447360
"appmesh-grafana";"2022-01-09T10:20:15+01:00";34451456
"appmesh-grafana";"2022-01-09T10:20:30+01:00";34451456
"appmesh-grafana";"2022-01-09T10:20:45+01:00";34451456
"appmesh-grafana";"2022-01-09T10:21:00+01:00";34451456
"appmesh-grafana";"2022-01-09T10:21:15+01:00";34881536
"appmesh-grafana";"2022-01-09T10:21:30+01:00";34897920
"appmesh-grafana";"2022-01-09T10:21:45+01:00";34897920
"appmesh-grafana";"2022-01-09T10:22:00+01:00";35033088
"appmesh-grafana";"2022-01-09T10:22:15+01:00";35033088
"appmesh-grafana";"2022-01-09T10:22:30+01:00";35106816
"appmesh-grafana";"2022-01-09T10:22:45+01:00";35106816
"appmesh-grafana";"2022-01-09T10:23:00+01:00";35115008
"appmesh-grafana";"2022-01-09T10:23:15+01:00";35119104
"appmesh-grafana";"2022-01-09T10:23:30+01:00";35123200
"appmesh-grafana";"2022-01-09T10:23:45+01:00";35266560
"appmesh-grafana";"2022-01-09T10:24:00+01:00";35741696
"appmesh-grafana";"2022-01-09T10:24:15+01:00";35856384
"appmesh-grafana";"2022-01-09T10:24:30+01:00";35999744
"appmesh-grafana";"2022-01-09T10:24:45+01:00";35880960
"appmesh-grafana";"2022-01-09T10:25:00+01:00";35897344
"appmesh-grafana";"2022-01-09T10:25:15+01:00";35897344
"appmesh-grafana";"2022-01-09T10:25:30+01:00";35901440
"appmesh-grafana";"2022-01-09T10:25:45+01:00";36020224
"appmesh-grafana";"2022-01-09T10:26:00+01:00";35901440
"appmesh-grafana";"2022-01-09T10:26:15+01:00";35901440
"appmesh-grafana";"2022-01-09T10:26:30+01:00";35901440
"appmesh-grafana";"2022-01-09T10:26:45+01:00";35905536
"appmesh-grafana";"2022-01-09T10:27:00+01:00";35905536
"appmesh-grafana";"2022-01-09T10:27:15+01:00";35909632
"appmesh-grafana";"2022-01-09T10:27:30+01:00";35909632
"appmesh-grafana";"2022-01-09T10:27:45+01:00";35975168
"appmesh-grafana";"2022-01-09T10:28:00+01:00";35979264
"appmesh-grafana";"2022-01-09T10:28:15+01:00";35983360
"appmesh-grafana";"2022-01-09T10:28:30+01:00";35983360
