sep=;
"Series";"Time";"Value"
"appmesh-bookinfo";"2022-01-09T10:17:00+01:00";2772385792
"appmesh-bookinfo";"2022-01-09T10:17:15+01:00";2778435584
"appmesh-bookinfo";"2022-01-09T10:17:30+01:00";2783735808
"appmesh-bookinfo";"2022-01-09T10:17:45+01:00";2854535168
"appmesh-bookinfo";"2022-01-09T10:18:00+01:00";3039666176
"appmesh-bookinfo";"2022-01-09T10:18:15+01:00";3058835456
"appmesh-bookinfo";"2022-01-09T10:18:30+01:00";3072081920
"appmesh-bookinfo";"2022-01-09T10:18:45+01:00";3080237056
"appmesh-bookinfo";"2022-01-09T10:19:00+01:00";3084656640
"appmesh-bookinfo";"2022-01-09T10:19:15+01:00";3095015424
"appmesh-bookinfo";"2022-01-09T10:19:30+01:00";3097575424
"appmesh-bookinfo";"2022-01-09T10:19:45+01:00";3103014912
"appmesh-bookinfo";"2022-01-09T10:20:00+01:00";3109347328
"appmesh-bookinfo";"2022-01-09T10:20:15+01:00";3113897984
"appmesh-bookinfo";"2022-01-09T10:20:30+01:00";3119882240
"appmesh-bookinfo";"2022-01-09T10:20:45+01:00";3123859456
"appmesh-bookinfo";"2022-01-09T10:21:00+01:00";3127541760
"appmesh-bookinfo";"2022-01-09T10:21:15+01:00";3131023360
"appmesh-bookinfo";"2022-01-09T10:21:30+01:00";3136978944
"appmesh-bookinfo";"2022-01-09T10:21:45+01:00";3137679360
"appmesh-bookinfo";"2022-01-09T10:22:00+01:00";3140636672
"appmesh-bookinfo";"2022-01-09T10:22:15+01:00";3143999488
"appmesh-bookinfo";"2022-01-09T10:22:30+01:00";3148410880
"appmesh-bookinfo";"2022-01-09T10:22:45+01:00";3150028800
"appmesh-bookinfo";"2022-01-09T10:23:00+01:00";3152965632
"appmesh-bookinfo";"2022-01-09T10:23:15+01:00";3156787200
"appmesh-bookinfo";"2022-01-09T10:23:30+01:00";3157913600
"appmesh-bookinfo";"2022-01-09T10:23:45+01:00";3160780800
"appmesh-bookinfo";"2022-01-09T10:24:00+01:00";3162972160
"appmesh-bookinfo";"2022-01-09T10:24:15+01:00";3166040064
"appmesh-bookinfo";"2022-01-09T10:24:30+01:00";3168616448
"appmesh-bookinfo";"2022-01-09T10:24:45+01:00";3170684928
"appmesh-bookinfo";"2022-01-09T10:25:00+01:00";3172954112
"appmesh-bookinfo";"2022-01-09T10:25:15+01:00";3176366080
"appmesh-bookinfo";"2022-01-09T10:25:30+01:00";3178229760
"appmesh-bookinfo";"2022-01-09T10:25:45+01:00";3183452160
"appmesh-bookinfo";"2022-01-09T10:26:00+01:00";3182948352
"appmesh-bookinfo";"2022-01-09T10:26:15+01:00";3187154944
"appmesh-bookinfo";"2022-01-09T10:26:30+01:00";3186147328
"appmesh-bookinfo";"2022-01-09T10:26:45+01:00";3188719616
"appmesh-bookinfo";"2022-01-09T10:27:00+01:00";3190681600
"appmesh-bookinfo";"2022-01-09T10:27:15+01:00";3192197120
"appmesh-bookinfo";"2022-01-09T10:27:30+01:00";3194363904
"appmesh-bookinfo";"2022-01-09T10:27:45+01:00";3196391424
"appmesh-bookinfo";"2022-01-09T10:28:00+01:00";3197403136
"appmesh-bookinfo";"2022-01-09T10:28:15+01:00";3200004096
"appmesh-bookinfo";"2022-01-09T10:28:30+01:00";3201908736
"appmesh-bookinfo";"2022-01-09T10:28:45+01:00";3204329472
"appmesh-bookinfo";"2022-01-09T10:29:00+01:00";3205586944
"appmesh-bookinfo";"2022-01-09T10:29:15+01:00";3206672384
"appmesh-bookinfo";"2022-01-09T10:29:30+01:00";3207852032
"appmesh-bookinfo";"2022-01-09T10:29:45+01:00";3210035200
"appmesh-bookinfo";"2022-01-09T10:30:00+01:00";3211599872
"appmesh-bookinfo";"2022-01-09T10:30:15+01:00";3213623296
"appmesh-bookinfo";"2022-01-09T10:30:30+01:00";3214696448
"appmesh-bookinfo";"2022-01-09T10:30:45+01:00";3216064512
"appmesh-bookinfo";"2022-01-09T10:31:00+01:00";3218280448
"appmesh-bookinfo";"2022-01-09T10:31:15+01:00";3219963904
"appmesh-bookinfo";"2022-01-09T10:31:30+01:00";3221331968
"appmesh-bookinfo";"2022-01-09T10:31:45+01:00";3222835200
"appmesh-bookinfo";"2022-01-09T10:32:00+01:00";3224449024
"appmesh-bookinfo";"2022-01-09T10:32:15+01:00";3226869760
"appmesh-bookinfo";"2022-01-09T10:32:30+01:00";3228827648
"appmesh-bookinfo";"2022-01-09T10:32:45+01:00";3229626368
