sep=;
"Series";"Time";"Value"
"appmesh-bookinfo";"2022-01-09T10:17:00+01:00";0.5869177725382144
"appmesh-bookinfo";"2022-01-09T10:17:15+01:00";0.5955560250353774
"appmesh-bookinfo";"2022-01-09T10:17:30+01:00";0.598246358200148
"appmesh-bookinfo";"2022-01-09T10:17:45+01:00";0.6839475539029425
"appmesh-bookinfo";"2022-01-09T10:18:00+01:00";1.5136606588339614
"appmesh-bookinfo";"2022-01-09T10:18:15+01:00";2.712084972189379
"appmesh-bookinfo";"2022-01-09T10:18:30+01:00";3.9680911331319346
"appmesh-bookinfo";"2022-01-09T10:18:45+01:00";4.649627428708666
"appmesh-bookinfo";"2022-01-09T10:19:00+01:00";4.941657789449761
"appmesh-bookinfo";"2022-01-09T10:19:15+01:00";4.843951769440784
"appmesh-bookinfo";"2022-01-09T10:19:30+01:00";5.005288192899859
"appmesh-bookinfo";"2022-01-09T10:19:45+01:00";5.0781975789209
"appmesh-bookinfo";"2022-01-09T10:20:00+01:00";4.952035930835779
"appmesh-bookinfo";"2022-01-09T10:20:15+01:00";4.837321078853466
"appmesh-bookinfo";"2022-01-09T10:20:30+01:00";4.68470530112277
"appmesh-bookinfo";"2022-01-09T10:20:45+01:00";4.513746367028347
"appmesh-bookinfo";"2022-01-09T10:21:00+01:00";4.485027925004153
"appmesh-bookinfo";"2022-01-09T10:21:15+01:00";4.503645974450676
"appmesh-bookinfo";"2022-01-09T10:21:30+01:00";4.565339281207157
"appmesh-bookinfo";"2022-01-09T10:21:45+01:00";4.457033297501601
"appmesh-bookinfo";"2022-01-09T10:22:00+01:00";4.393335279367502
"appmesh-bookinfo";"2022-01-09T10:22:15+01:00";4.372193447422195
"appmesh-bookinfo";"2022-01-09T10:22:30+01:00";4.486809593891561
"appmesh-bookinfo";"2022-01-09T10:22:45+01:00";4.396502011889531
"appmesh-bookinfo";"2022-01-09T10:23:00+01:00";4.473042515748465
"appmesh-bookinfo";"2022-01-09T10:23:15+01:00";4.485486115799459
"appmesh-bookinfo";"2022-01-09T10:23:30+01:00";4.490645072643592
"appmesh-bookinfo";"2022-01-09T10:23:45+01:00";4.4911088796928045
"appmesh-bookinfo";"2022-01-09T10:24:00+01:00";4.408906974207346
"appmesh-bookinfo";"2022-01-09T10:24:15+01:00";4.413555325250106
"appmesh-bookinfo";"2022-01-09T10:24:30+01:00";4.478529685836926
"appmesh-bookinfo";"2022-01-09T10:24:45+01:00";4.401914273238049
"appmesh-bookinfo";"2022-01-09T10:25:00+01:00";4.386220310607668
"appmesh-bookinfo";"2022-01-09T10:25:15+01:00";4.399465764226549
"appmesh-bookinfo";"2022-01-09T10:25:30+01:00";4.421406896968157
"appmesh-bookinfo";"2022-01-09T10:25:45+01:00";4.42139927462648
"appmesh-bookinfo";"2022-01-09T10:26:00+01:00";4.504977109717911
"appmesh-bookinfo";"2022-01-09T10:26:15+01:00";4.477238989768545
"appmesh-bookinfo";"2022-01-09T10:26:30+01:00";4.501336737992056
"appmesh-bookinfo";"2022-01-09T10:26:45+01:00";4.4814549133382355
"appmesh-bookinfo";"2022-01-09T10:27:00+01:00";4.41025988322041
"appmesh-bookinfo";"2022-01-09T10:27:15+01:00";4.48247761313346
"appmesh-bookinfo";"2022-01-09T10:27:30+01:00";4.441932975104432
"appmesh-bookinfo";"2022-01-09T10:27:45+01:00";4.354542767745475
"appmesh-bookinfo";"2022-01-09T10:28:00+01:00";4.396935584066839
"appmesh-bookinfo";"2022-01-09T10:28:15+01:00";4.457162110125074
"appmesh-bookinfo";"2022-01-09T10:28:30+01:00";4.3941554727648215
"appmesh-bookinfo";"2022-01-09T10:28:45+01:00";4.396767721704064
"appmesh-bookinfo";"2022-01-09T10:29:00+01:00";4.4015919710415305
"appmesh-bookinfo";"2022-01-09T10:29:15+01:00";4.398490973132173
"appmesh-bookinfo";"2022-01-09T10:29:30+01:00";4.44257132292302
"appmesh-bookinfo";"2022-01-09T10:29:45+01:00";4.478115160757598
"appmesh-bookinfo";"2022-01-09T10:30:00+01:00";4.439165568924699
"appmesh-bookinfo";"2022-01-09T10:30:15+01:00";4.455791698706511
"appmesh-bookinfo";"2022-01-09T10:30:30+01:00";4.911700465879154
"appmesh-bookinfo";"2022-01-09T10:30:45+01:00";4.986128220224747
"appmesh-bookinfo";"2022-01-09T10:31:00+01:00";4.9129019239690015
"appmesh-bookinfo";"2022-01-09T10:31:15+01:00";4.947643135470367
"appmesh-bookinfo";"2022-01-09T10:31:30+01:00";4.919410807197077
"appmesh-bookinfo";"2022-01-09T10:31:45+01:00";4.667598402536687
"appmesh-bookinfo";"2022-01-09T10:32:00+01:00";4.528182205882437
"appmesh-bookinfo";"2022-01-09T10:32:15+01:00";4.2944812732378255
"appmesh-bookinfo";"2022-01-09T10:32:30+01:00";4.478211949299335
"appmesh-bookinfo";"2022-01-09T10:32:45+01:00";4.270809760474314
