"Time","per istio-ingressgateway"
2022-01-09 09:00:00,136896512
2022-01-09 09:00:05,136896512
2022-01-09 09:00:10,136896512
2022-01-09 09:00:15,137547776
2022-01-09 09:00:20,137867264
2022-01-09 09:00:25,137867264
2022-01-09 09:00:30,68820992
2022-01-09 09:00:35,48416768
2022-01-09 09:00:40,48416768
2022-01-09 09:00:45,59756544
2022-01-09 09:00:50,89973419
2022-01-09 09:00:55,89973419
2022-01-09 09:01:00,89805483
2022-01-09 09:01:05,89688064
2022-01-09 09:01:10,89688064
2022-01-09 09:01:15,90087424
2022-01-09 09:01:20,90368683
2022-01-09 09:01:25,92213931
2022-01-09 09:01:30,92491093
2022-01-09 09:01:35,80525605
2022-01-09 09:01:40,80312613
2022-01-09 09:01:45,78804992
2022-01-09 09:01:50,85983232
2022-01-09 09:01:55,86151168
2022-01-09 09:02:00,86042624
2022-01-09 09:02:05,86046720
2022-01-09 09:02:10,86344192
2022-01-09 09:02:15,86862336
2022-01-09 09:02:20,86248448
2022-01-09 09:02:25,86452736
2022-01-09 09:02:30,86881280
2022-01-09 09:02:35,87207424
2022-01-09 09:02:40,87248896
2022-01-09 09:02:45,87247360
2022-01-09 09:02:50,87742976
2022-01-09 09:02:55,87719424
2022-01-09 09:03:00,87719424
2022-01-09 09:03:05,87755776
2022-01-09 09:03:10,87503360
2022-01-09 09:03:15,87510016
2022-01-09 09:03:20,87391232
2022-01-09 09:03:25,87527424
2022-01-09 09:03:30,88155648
2022-01-09 09:03:35,88245760
2022-01-09 09:03:40,88772096
2022-01-09 09:03:45,88916992
2022-01-09 09:03:50,88910848
2022-01-09 09:03:55,88881152
2022-01-09 09:04:00,88125440
2022-01-09 09:04:05,88105472
2022-01-09 09:04:10,88122368
2022-01-09 09:04:15,89017856
2022-01-09 09:04:20,89017856
2022-01-09 09:04:25,89048064
2022-01-09 09:04:30,89152000
2022-01-09 09:04:35,89071104
2022-01-09 09:04:40,89031680
2022-01-09 09:04:45,88798208
2022-01-09 09:04:50,88695296
2022-01-09 09:04:55,88690688
2022-01-09 09:05:00,88278016
2022-01-09 09:05:05,88253440
2022-01-09 09:05:10,88372224
2022-01-09 09:05:15,88411648
2022-01-09 09:05:20,89383424
2022-01-09 09:05:25,89391104
2022-01-09 09:05:30,89391104
2022-01-09 09:05:35,89658368
2022-01-09 09:05:40,89460224
2022-01-09 09:05:45,89705984
2022-01-09 09:05:50,89666560
2022-01-09 09:05:55,89451520
2022-01-09 09:06:00,89262080
2022-01-09 09:06:05,89317376
2022-01-09 09:06:10,89597440
2022-01-09 09:06:15,89204224
2022-01-09 09:06:20,89204224
2022-01-09 09:06:25,89939968
2022-01-09 09:06:30,90199552
2022-01-09 09:06:35,90374144
2022-01-09 09:06:40,90365952
2022-01-09 09:06:45,89271296
2022-01-09 09:06:50,89349632
2022-01-09 09:06:55,89577472
2022-01-09 09:07:00,89596416
2022-01-09 09:07:05,89824768
2022-01-09 09:07:10,89744384
2022-01-09 09:07:15,89613312
2022-01-09 09:07:20,89749504
2022-01-09 09:07:25,90100736
2022-01-09 09:07:30,90432512
2022-01-09 09:07:35,90917376
2022-01-09 09:07:40,91008512
2022-01-09 09:07:45,91133440
2022-01-09 09:07:50,91138048
2022-01-09 09:07:55,91077120
2022-01-09 09:08:00,91081216
2022-01-09 09:08:05,90577408
2022-01-09 09:08:10,90571776
2022-01-09 09:08:15,90595328
2022-01-09 09:08:20,91260928
2022-01-09 09:08:25,91645952
2022-01-09 09:08:30,91748864
2022-01-09 09:08:35,91867136
2022-01-09 09:08:40,90826240
2022-01-09 09:08:45,90959872
2022-01-09 09:08:50,90955776
2022-01-09 09:08:55,90678272
2022-01-09 09:09:00,90321920
2022-01-09 09:09:05,90845184
2022-01-09 09:09:10,91826688
2022-01-09 09:09:15,91836416
2022-01-09 09:09:20,91949056
2022-01-09 09:09:25,91650048
2022-01-09 09:09:30,91975168
2022-01-09 09:09:35,91975168
2022-01-09 09:09:40,91808768
2022-01-09 09:09:45,91217408
2022-01-09 09:09:50,90738176
2022-01-09 09:09:55,90971136
2022-01-09 09:10:00,91646464
2022-01-09 09:10:05,92028416
2022-01-09 09:10:10,92080128
2022-01-09 09:10:15,92080128
2022-01-09 09:10:20,92136960
2022-01-09 09:10:25,92172800
2022-01-09 09:10:30,92155904
2022-01-09 09:10:35,91762688
2022-01-09 09:10:40,91446272
2022-01-09 09:10:45,91338240
2022-01-09 09:10:50,91692032
2022-01-09 09:10:55,91808768
2022-01-09 09:11:00,91808768
2022-01-09 09:11:05,91496448
2022-01-09 09:11:10,91168768
2022-01-09 09:11:15,90986496
2022-01-09 09:11:20,91138048
2022-01-09 09:11:25,91229696
2022-01-09 09:11:30,91229696
2022-01-09 09:11:35,91042816
2022-01-09 09:11:40,90969600
2022-01-09 09:11:45,91269632
2022-01-09 09:11:50,91085312
2022-01-09 09:11:55,90967552
2022-01-09 09:12:00,90995712
2022-01-09 09:12:05,90562560
2022-01-09 09:12:10,90623488
2022-01-09 09:12:15,90724864
2022-01-09 09:12:20,90807808
2022-01-09 09:12:25,91012096
2022-01-09 09:12:30,90968064
2022-01-09 09:12:35,91217920
2022-01-09 09:12:40,91374592
2022-01-09 09:12:45,91720192
2022-01-09 09:12:50,92666368
2022-01-09 09:12:55,92160000
2022-01-09 09:13:00,91739136
2022-01-09 09:13:05,91810816
2022-01-09 09:13:10,91696640
2022-01-09 09:13:15,91933184
2022-01-09 09:13:20,92741120
2022-01-09 09:13:25,92750336
2022-01-09 09:13:30,92356608
2022-01-09 09:13:35,91898880
2022-01-09 09:13:40,91913216
2022-01-09 09:13:45,92015616
2022-01-09 09:13:50,91550720
2022-01-09 09:13:55,91540992
2022-01-09 09:14:00,91546112
2022-01-09 09:14:05,91617280
2022-01-09 09:14:10,91828224
2022-01-09 09:14:15,92274176
2022-01-09 09:14:20,92152320
2022-01-09 09:14:25,92119040
2022-01-09 09:14:30,92127744
2022-01-09 09:14:35,92264960
2022-01-09 09:14:40,92264960
2022-01-09 09:14:45,92078080
2022-01-09 09:14:50,92374016
2022-01-09 09:14:55,92513792
2022-01-09 09:15:00,92852736
2022-01-09 09:15:05,92728832
2022-01-09 09:15:10,92539392
2022-01-09 09:15:15,92404224
2022-01-09 09:15:20,92476928
2022-01-09 09:15:25,92386816
2022-01-09 09:15:30,92476416
2022-01-09 09:15:35,92229120
2022-01-09 09:15:40,92062720
2022-01-09 09:15:45,91846656
2022-01-09 09:15:50,91879424
2022-01-09 09:15:55,90792960
2022-01-09 09:16:00,90742272
2022-01-09 09:16:05,90742272
2022-01-09 09:16:10,91198464
2022-01-09 09:16:15,91725824
2022-01-09 09:16:20,91987968
2022-01-09 09:16:25,92190720
2022-01-09 09:16:30,93077504
2022-01-09 09:16:35,93024256
2022-01-09 09:16:40,93257728
2022-01-09 09:16:45,92963840
2022-01-09 09:16:50,92616192
2022-01-09 09:16:55,92856832
2022-01-09 09:17:00,92817920
2022-01-09 09:17:05,92842496
2022-01-09 09:17:10,92520960
2022-01-09 09:17:15,92642816
2022-01-09 09:17:20,92936192
2022-01-09 09:17:25,92936192
2022-01-09 09:17:30,92648448
2022-01-09 09:17:35,92615168
2022-01-09 09:17:40,92773376
2022-01-09 09:17:45,92819968
2022-01-09 09:17:50,92857856
2022-01-09 09:17:55,92841472
2022-01-09 09:18:00,92803072

