"Time","Total (k8s)"
2022-01-09 09:00:00,0.00506
2022-01-09 09:00:10,0.00510
2022-01-09 09:00:20,0.00550
2022-01-09 09:00:30,0.00451
2022-01-09 09:00:40,0.00451
2022-01-09 09:00:50,0.00612
2022-01-09 09:01:00,0.00574
2022-01-09 09:01:10,0.00671
2022-01-09 09:01:20,0.00840
2022-01-09 09:01:30,0.00614
2022-01-09 09:01:40,0.00528
2022-01-09 09:01:50,0.00701
2022-01-09 09:02:00,0.00500
2022-01-09 09:02:10,0.00544
2022-01-09 09:02:20,0.00538
2022-01-09 09:02:30,0.00467
2022-01-09 09:02:40,0.00498
2022-01-09 09:02:50,0.00517
2022-01-09 09:03:00,0.00513
2022-01-09 09:03:10,0.00796
2022-01-09 09:03:20,0.00896
2022-01-09 09:03:30,0.00805
2022-01-09 09:03:40,0.00745
2022-01-09 09:03:50,0.00888
2022-01-09 09:04:00,0.00545
2022-01-09 09:04:10,0.00556
2022-01-09 09:04:20,0.00508
2022-01-09 09:04:30,0.00490
2022-01-09 09:04:40,0.00490
2022-01-09 09:04:50,0.00447
2022-01-09 09:05:00,0.00460
2022-01-09 09:05:10,0.00459
2022-01-09 09:05:20,0.00623
2022-01-09 09:05:30,0.00523
2022-01-09 09:05:40,0.00608
2022-01-09 09:05:50,0.00619
2022-01-09 09:06:00,0.00619
2022-01-09 09:06:10,0.00488
2022-01-09 09:06:20,0.00524
2022-01-09 09:06:30,0.00489
2022-01-09 09:06:40,0.00473
2022-01-09 09:06:50,0.00434
2022-01-09 09:07:00,0.00329
2022-01-09 09:07:10,0.00514
2022-01-09 09:07:20,0.00742
2022-01-09 09:07:30,0.00871
2022-01-09 09:07:40,0.0170
2022-01-09 09:07:50,0.0213
2022-01-09 09:08:00,0.0151
2022-01-09 09:08:10,0.0127
2022-01-09 09:08:20,0.00397
2022-01-09 09:08:30,0.00435
2022-01-09 09:08:40,0.00436
2022-01-09 09:08:50,0.00425
2022-01-09 09:09:00,0.00428
2022-01-09 09:09:10,0.00386
2022-01-09 09:09:20,0.00386
2022-01-09 09:09:30,0.00590
2022-01-09 09:09:40,0.00627
2022-01-09 09:09:50,0.00643
2022-01-09 09:10:00,0.00670
2022-01-09 09:10:10,0.00420
2022-01-09 09:10:20,0.00509
2022-01-09 09:10:30,0.00509
2022-01-09 09:10:40,0.00504
2022-01-09 09:10:50,0.00511
2022-01-09 09:11:00,0.00489
2022-01-09 09:11:10,0.00489
2022-01-09 09:11:20,0.00433
2022-01-09 09:11:30,0.00391
2022-01-09 09:11:40,0.00738
2022-01-09 09:11:50,0.00731
2022-01-09 09:12:00,0.00986
2022-01-09 09:12:10,0.00838
2022-01-09 09:12:20,0.00529
2022-01-09 09:12:30,0.00505
2022-01-09 09:12:40,0.00600
2022-01-09 09:12:50,0.00503
2022-01-09 09:13:00,0.00578
2022-01-09 09:13:10,0.00485
2022-01-09 09:13:20,0.00711
2022-01-09 09:13:30,0.00671
2022-01-09 09:13:40,0.00599
2022-01-09 09:13:50,0.00599
2022-01-09 09:14:00,0.00599
2022-01-09 09:14:10,0.00441
2022-01-09 09:14:20,0.00438
2022-01-09 09:14:30,0.00438
2022-01-09 09:14:40,0.00384
2022-01-09 09:14:50,0.00384
2022-01-09 09:15:00,0.00433
2022-01-09 09:15:10,0.00414
2022-01-09 09:15:20,0.00428
2022-01-09 09:15:30,0.00807
2022-01-09 09:15:40,0.00814
2022-01-09 09:15:50,0.00814
2022-01-09 09:16:00,0.00788
2022-01-09 09:16:10,0.00404
2022-01-09 09:16:20,0.00404
2022-01-09 09:16:30,0.00405
2022-01-09 09:16:40,0.00392
2022-01-09 09:16:50,0.00392
2022-01-09 09:17:00,0.00385
2022-01-09 09:17:10,0.00280
2022-01-09 09:17:20,0.00345
2022-01-09 09:17:30,0.00515
2022-01-09 09:17:40,0.00564
2022-01-09 09:17:50,0.00526
2022-01-09 09:18:00,0.00486

