"Time","Total (k8s)"
2022-01-09 09:00:00,3276800
2022-01-09 09:00:10,3276800
2022-01-09 09:00:20,3276800
2022-01-09 09:00:30,3276800
2022-01-09 09:00:40,3317760
2022-01-09 09:00:50,3317760
2022-01-09 09:01:00,3317760
2022-01-09 09:01:10,3317760
2022-01-09 09:01:20,3317760
2022-01-09 09:01:30,3317760
2022-01-09 09:01:40,3362816
2022-01-09 09:01:50,3362816
2022-01-09 09:02:00,3362816
2022-01-09 09:02:10,3362816
2022-01-09 09:02:20,3362816
2022-01-09 09:02:30,3362816
2022-01-09 09:02:40,3362816
2022-01-09 09:02:50,3375104
2022-01-09 09:03:00,3375104
2022-01-09 09:03:10,3375104
2022-01-09 09:03:20,3375104
2022-01-09 09:03:30,3375104
2022-01-09 09:03:40,3375104
2022-01-09 09:03:50,3375104
2022-01-09 09:04:00,3375104
2022-01-09 09:04:10,3375104
2022-01-09 09:04:20,3375104
2022-01-09 09:04:30,3375104
2022-01-09 09:04:40,3375104
2022-01-09 09:04:50,3375104
2022-01-09 09:05:00,3375104
2022-01-09 09:05:10,3375104
2022-01-09 09:05:20,3375104
2022-01-09 09:05:30,3375104
2022-01-09 09:05:40,3375104
2022-01-09 09:05:50,3375104
2022-01-09 09:06:00,3375104
2022-01-09 09:06:10,3375104
2022-01-09 09:06:20,3375104
2022-01-09 09:06:30,3375104
2022-01-09 09:06:40,3375104
2022-01-09 09:06:50,3375104
2022-01-09 09:07:00,3375104
2022-01-09 09:07:10,3375104
2022-01-09 09:07:20,3375104
2022-01-09 09:07:30,3375104
2022-01-09 09:07:40,3375104
2022-01-09 09:07:50,3375104
2022-01-09 09:08:00,3375104
2022-01-09 09:08:10,3375104
2022-01-09 09:08:20,3375104
2022-01-09 09:08:30,3375104
2022-01-09 09:08:40,3375104
2022-01-09 09:08:50,3375104
2022-01-09 09:09:00,3375104
2022-01-09 09:09:10,3375104
2022-01-09 09:09:20,3375104
2022-01-09 09:09:30,3375104
2022-01-09 09:09:40,3375104
2022-01-09 09:09:50,3375104
2022-01-09 09:10:00,3375104
2022-01-09 09:10:10,3375104
2022-01-09 09:10:20,3375104
2022-01-09 09:10:30,3375104
2022-01-09 09:10:40,3375104
2022-01-09 09:10:50,3375104
2022-01-09 09:11:00,3375104
2022-01-09 09:11:10,3379200
2022-01-09 09:11:20,3379200
2022-01-09 09:11:30,3379200
2022-01-09 09:11:40,3379200
2022-01-09 09:11:50,3379200
2022-01-09 09:12:00,3379200
2022-01-09 09:12:10,3325952
2022-01-09 09:12:20,3325952
2022-01-09 09:12:30,3325952
2022-01-09 09:12:40,3325952
2022-01-09 09:12:50,3325952
2022-01-09 09:13:00,3342336
2022-01-09 09:13:10,3342336
2022-01-09 09:13:20,3346432
2022-01-09 09:13:30,3346432
2022-01-09 09:13:40,3346432
2022-01-09 09:13:50,3358720
2022-01-09 09:14:00,3358720
2022-01-09 09:14:10,3358720
2022-01-09 09:14:20,3358720
2022-01-09 09:14:30,3358720
2022-01-09 09:14:40,3358720
2022-01-09 09:14:50,3358720
2022-01-09 09:15:00,3358720
2022-01-09 09:15:10,3358720
2022-01-09 09:15:20,3358720
2022-01-09 09:15:30,3358720
2022-01-09 09:15:40,3358720
2022-01-09 09:15:50,3358720
2022-01-09 09:16:00,3358720
2022-01-09 09:16:10,3358720
2022-01-09 09:16:20,3358720
2022-01-09 09:16:30,3358720
2022-01-09 09:16:40,3358720
2022-01-09 09:16:50,3358720
2022-01-09 09:17:00,3358720
2022-01-09 09:17:10,3358720
2022-01-09 09:17:20,3358720
2022-01-09 09:17:30,3358720
2022-01-09 09:17:40,3358720
2022-01-09 09:17:50,3358720
2022-01-09 09:18:00,3358720

