"Time","Total (k8s)"
2022-01-09 09:00:00,4246646784
2022-01-09 09:00:10,4245311488
2022-01-09 09:00:20,4247121920
2022-01-09 09:00:30,4242911232
2022-01-09 09:00:40,4261244928
2022-01-09 09:00:50,4370780160
2022-01-09 09:01:00,4373041152
2022-01-09 09:01:10,4370739200
2022-01-09 09:01:20,4370472960
2022-01-09 09:01:30,4381261824
2022-01-09 09:01:40,4394037248
2022-01-09 09:01:50,4450299904
2022-01-09 09:02:00,4446347264
2022-01-09 09:02:10,4450476032
2022-01-09 09:02:20,4452376576
2022-01-09 09:02:30,4459814912
2022-01-09 09:02:40,4457607168
2022-01-09 09:02:50,4455665664
2022-01-09 09:03:00,4455989248
2022-01-09 09:03:10,4458663936
2022-01-09 09:03:20,4457926656
2022-01-09 09:03:30,4460535808
2022-01-09 09:03:40,4464472064
2022-01-09 09:03:50,4467712000
2022-01-09 09:04:00,4454481920
2022-01-09 09:04:10,4458213376
2022-01-09 09:04:20,4462329856
2022-01-09 09:04:30,4456513536
2022-01-09 09:04:40,4453474304
2022-01-09 09:04:50,4460806144
2022-01-09 09:05:00,4462301184
2022-01-09 09:05:10,4464513024
2022-01-09 09:05:20,4461232128
2022-01-09 09:05:30,4459847680
2022-01-09 09:05:40,4454879232
2022-01-09 09:05:50,4458147840
2022-01-09 09:06:00,4462399488
2022-01-09 09:06:10,4456947712
2022-01-09 09:06:20,4456345600
2022-01-09 09:06:30,4468592640
2022-01-09 09:06:40,4473794560
2022-01-09 09:06:50,4469059584
2022-01-09 09:07:00,4473716736
2022-01-09 09:07:10,4472098816
2022-01-09 09:07:20,4468699136
2022-01-09 09:07:30,4466761728
2022-01-09 09:07:40,4473946112
2022-01-09 09:07:50,4476829696
2022-01-09 09:08:00,4477652992
2022-01-09 09:08:10,4471758848
2022-01-09 09:08:20,4481953792
2022-01-09 09:08:30,4473950208
2022-01-09 09:08:40,4475887616
2022-01-09 09:08:50,4472336384
2022-01-09 09:09:00,4471050240
2022-01-09 09:09:10,4464078848
2022-01-09 09:09:20,4467343360
2022-01-09 09:09:30,4468940800
2022-01-09 09:09:40,4458778624
2022-01-09 09:09:50,4453273600
2022-01-09 09:10:00,4466200576
2022-01-09 09:10:10,4482035712
2022-01-09 09:10:20,4473749504
2022-01-09 09:10:30,4468002816
2022-01-09 09:10:40,4465332224
2022-01-09 09:10:50,4475265024
2022-01-09 09:11:00,4482539520
2022-01-09 09:11:10,4477771776
2022-01-09 09:11:20,4473188352
2022-01-09 09:11:30,4470898688
2022-01-09 09:11:40,4476116992
2022-01-09 09:11:50,4475068416
2022-01-09 09:12:00,4475281408
2022-01-09 09:12:10,4379394048
2022-01-09 09:12:20,4389564416
2022-01-09 09:12:30,4390481920
2022-01-09 09:12:40,4400640000
2022-01-09 09:12:50,4403474432
2022-01-09 09:13:00,4458373120
2022-01-09 09:13:10,4455710720
2022-01-09 09:13:20,4462559232
2022-01-09 09:13:30,4468387840
2022-01-09 09:13:40,4459466752
2022-01-09 09:13:50,4459347968
2022-01-09 09:14:00,4449329152
2022-01-09 09:14:10,4458565632
2022-01-09 09:14:20,4458545152
2022-01-09 09:14:30,4464349184
2022-01-09 09:14:40,4468998144
2022-01-09 09:14:50,4466225152
2022-01-09 09:15:00,4459724800
2022-01-09 09:15:10,4451733504
2022-01-09 09:15:20,4455116800
2022-01-09 09:15:30,4455755776
2022-01-09 09:15:40,4455051264
2022-01-09 09:15:50,4453896192
2022-01-09 09:16:00,4447846400
2022-01-09 09:16:10,4455591936
2022-01-09 09:16:20,4453076992
2022-01-09 09:16:30,4462465024
2022-01-09 09:16:40,4472389632
2022-01-09 09:16:50,4459823104
2022-01-09 09:17:00,4458876928
2022-01-09 09:17:10,4465225728
2022-01-09 09:17:20,4463616000
2022-01-09 09:17:30,4463521792
2022-01-09 09:17:40,4463083520
2022-01-09 09:17:50,4462800896
2022-01-09 09:18:00,4463570944

