"Time","Total (k8s)"
2022-01-09 09:00:00,0.259
2022-01-09 09:00:10,0.521
2022-01-09 09:00:20,1.32
2022-01-09 09:00:30,2.12
2022-01-09 09:00:40,2.84
2022-01-09 09:00:50,3.57
2022-01-09 09:01:00,3.62
2022-01-09 09:01:10,3.74
2022-01-09 09:01:20,3.83
2022-01-09 09:01:30,3.65
2022-01-09 09:01:40,3.67
2022-01-09 09:01:50,3.83
2022-01-09 09:02:00,3.82
2022-01-09 09:02:10,3.62
2022-01-09 09:02:20,3.85
2022-01-09 09:02:30,3.78
2022-01-09 09:02:40,3.80
2022-01-09 09:02:50,3.84
2022-01-09 09:03:00,3.68
2022-01-09 09:03:10,3.81
2022-01-09 09:03:20,3.83
2022-01-09 09:03:30,3.81
2022-01-09 09:03:40,3.73
2022-01-09 09:03:50,3.84
2022-01-09 09:04:00,3.63
2022-01-09 09:04:10,3.77
2022-01-09 09:04:20,3.84
2022-01-09 09:04:30,3.73
2022-01-09 09:04:40,3.69
2022-01-09 09:04:50,3.86
2022-01-09 09:05:00,3.73
2022-01-09 09:05:10,3.66
2022-01-09 09:05:20,3.83
2022-01-09 09:05:30,3.74
2022-01-09 09:05:40,3.81
2022-01-09 09:05:50,3.84
2022-01-09 09:06:00,3.63
2022-01-09 09:06:10,3.83
2022-01-09 09:06:20,3.79
2022-01-09 09:06:30,3.68
2022-01-09 09:06:40,3.74
2022-01-09 09:06:50,3.83
2022-01-09 09:07:00,3.71
2022-01-09 09:07:10,3.67
2022-01-09 09:07:20,3.88
2022-01-09 09:07:30,3.58
2022-01-09 09:07:40,3.75
2022-01-09 09:07:50,3.67
2022-01-09 09:08:00,3.57
2022-01-09 09:08:10,3.63
2022-01-09 09:08:20,3.76
2022-01-09 09:08:30,3.60
2022-01-09 09:08:40,3.59
2022-01-09 09:08:50,3.68
2022-01-09 09:09:00,3.59
2022-01-09 09:09:10,3.72
2022-01-09 09:09:20,3.77
2022-01-09 09:09:30,3.65
2022-01-09 09:09:40,3.71
2022-01-09 09:09:50,3.79
2022-01-09 09:10:00,3.70
2022-01-09 09:10:10,3.70
2022-01-09 09:10:20,3.79
2022-01-09 09:10:30,3.77
2022-01-09 09:10:40,3.61
2022-01-09 09:10:50,3.76
2022-01-09 09:11:00,3.61
2022-01-09 09:11:10,3.65
2022-01-09 09:11:20,3.73
2022-01-09 09:11:30,3.60
2022-01-09 09:11:40,3.64
2022-01-09 09:11:50,3.74
2022-01-09 09:12:00,3.49
2022-01-09 09:12:10,3.64
2022-01-09 09:12:20,3.79
2022-01-09 09:12:30,3.75
2022-01-09 09:12:40,3.68
2022-01-09 09:12:50,3.79
2022-01-09 09:13:00,3.73
2022-01-09 09:13:10,3.76
2022-01-09 09:13:20,3.80
2022-01-09 09:13:30,3.58
2022-01-09 09:13:40,3.79
2022-01-09 09:13:50,3.84
2022-01-09 09:14:00,3.67
2022-01-09 09:14:10,3.69
2022-01-09 09:14:20,3.78
2022-01-09 09:14:30,3.54
2022-01-09 09:14:40,3.72
2022-01-09 09:14:50,3.83
2022-01-09 09:15:00,3.76
2022-01-09 09:15:10,3.51
2022-01-09 09:15:20,2.81
2022-01-09 09:15:30,1.87
2022-01-09 09:15:40,1.22
2022-01-09 09:15:50,0.481
2022-01-09 09:16:00,0.293
2022-01-09 09:16:10,0.289
2022-01-09 09:16:20,0.293
2022-01-09 09:16:30,0.292
2022-01-09 09:16:40,0.291
2022-01-09 09:16:50,0.298
2022-01-09 09:17:00,0.291
2022-01-09 09:17:10,0.282
2022-01-09 09:17:20,0.296
2022-01-09 09:17:30,0.284
2022-01-09 09:17:40,0.295
2022-01-09 09:17:50,0.291
2022-01-09 09:18:00,0.292

